original_name,clean_name,english_name
Algérie  الجزائر,الجزائر,Algeria
Algérie / الجزائر,الجزائر,Algeria
Algérie/الجزائر,الجزائر,Algeria
Algérieالجزائر/,الجزائر,Algeria
Tunisia/تونس,تونس,Tunisia
أريانة,تونس,Tunisia
إيطاليا/L\'italie,إيطاليا,Italy
الأردن,الأردن,Jordan
الأردن/Jordan,الأردن,Jordan
الاردن/Jordan,الأردن,Jordan
البحرين,البحرين,Bahrain
الجزائر,الجزائر,Algeria
الجزائر  المغرب  تونس,الجزائر | المغرب | تونس,Algeria | Morocco | Tunisia
الجزائر/Algerie,الجزائر,Algeria
الجزائر/Algérie,الجزائر,Algeria
الجمهورية  اليمنية,اليمن,Yemen
الجمهورية اليمنية,اليمن,Yemen
الجمورية  اليمنية,اليمن,Yemen
الجوائر,الجزائر,Algeria
السعودية,السعودية,Saudi Arabia
السودان,السودان,Sudan
العراق/Iraq,العراق,Iraq
القاهرة,مصر,Egypt
الكويت,الكويت,Kuwait
المغرب,المغرب,Morocco
المغرب سويسرا,المغرب | سويسرا,Morocco | Switzerland
المغرب/Maroc,المغرب,Morocco
المغرب/Morocco,المغرب,Morocco
المملكة المغربية,المغرب,Morocco
اليمن,اليمن,Yemen
اليمن/Yemen,اليمن,Yemen
اوروبا,اوروبا,Belgium
اوغندا/Uganda,اوغندا,Uganda
بلجيكا,بلجيكا,Belgium
بلجيكيا/Beljique,بلجيكا,Belgium
تزنس,تونس,Tunisia
تونس,تونس,Tunisia
تونس / Tunisia,تونس,Tunisia
تونس / Tunisie,تونس,Tunisia
تونس /Tunis,تونس,Tunisia
تونس /Tunisie,تونس,Tunisia
تونس وفرنسا,تونس | فرنسا,Tunisia | France
تونس/Ariana,تونس,Tunisia
تونس/Sfax,تونس,Tunisia
تونس/Tuinisia,تونس,Tunisia
تونس/Tunis,تونس,Tunisia
تونس/Tunisa,تونس,Tunisia
تونس/Tunisia,تونس,Tunisia
تونس/Tunisie,تونس,Tunisia
دار الجمعيات نادي فرح بنابل,تونس,Tunisia
صفاقس,تونس,Tunisia
فرنسا,فرنسا,France
فرنسا/France,فرنسا,France
فلسطين,فلسطين,Palestine
فلسطين/Palestine,فلسطين,Palestine
ليبيا,ليبيا,Libya
ليبيا/Libiya,ليبيا,Libya
ليبيا/Libya,ليبيا,Libya
مصر,مصر,Egypt
مصر/ Egypt,مصر,Egypt
مصر/Egipt,مصر,Egypt
مصر/Egypt,مصر,Egypt
مصر/Egypte,مصر,Egypt
مصر/Égypte,مصر,Egypt
مصر/القاهرة,مصر,Egypt
موريتانيا/Mauritania,موريتانيا,Mauritania
موريطانيا/Mauritania,موريتانيا,Mauritania
نابل,تونس,Tunisia
نابل ، الجمهورية التونسية,تونس,Tunisia
